Interjection,voyelle,openness,frequence,J_Frequency_19th,J_Frequency_20th,T_Frequency_19th,T_Frequency_20th
ah,ɑ,4,,31,36,539,257
ah bon,ɑ,4,,0,0,0,0
ahi,a,4,,0,0,0,0
aïe,a,4,,0,1,18,1
allez,a,4,,1,1,14,3
alors,a,4,,2,0,4,2
atchou,a,4,,0,0,0,0
atchoum,a,4,,0,0,0,0
attention,a,4,,0,0,3,6
au meurtre,o,2,,0,0,3,0
au nom du ciel,o,2,,0,0,7,0
au secours,o,2,,0,0,11,7
au voleur,o,2,,0,0,1,0
aux armes,o,2,,0,0,0,2
aweille,a,4,,0,0,0,0
ayoye,a,4,,0,0,0,0
bah,ɑ,4,,1,1,34,6
balek,a,4,,0,0,0,0
bang,ɑ,4,,0,0,0,0
bas les pattes,a,4,,0,0,0,0
belek,e,2,,0,0,0,0
ben,ɛ,2,,1,0,0,1
berk,ɛ,2,,0,0,0,0
bernique,ɛ,2,,0,1,0,0
beuh,ø,2,,0,0,0,0
beurk,ø,2,,0,0,0,0
bigre,i,1,,0,0,1,0
bingo,i,1,,0,0,0,0
bis,i,1,,0,0,0,0
bla-bla-bla,a,4,,0,0,0,0
bof,ɔ,3,,0,0,0,0
bon,o,2,,2,0,33,23
bon Dieu,o,2,,0,1,7,4
bon sange,o,2,,0,0,0,0
bonté divine,o,2,,0,0,2,0
bordel,ɔ,3,,0,0,0,0
bordel de merde,ɔ,3,,0,0,0,0
boudiou,u,1,,0,0,0,0
bouh,u,1,,0,0,0,0
boum,u,1,,4,0,0,0
bravo,a,4,,1,5,5,20
broum,u,1,,0,0,2,0
brrr,/,/,,0,0,0,0
ça suffit,a,4,,0,0,0,1
calice,a,4,,0,0,0,0
câline,a,4,,0,0,0,0
câlisse,a,4,,0,0,0,0
calvaire,a,4,,0,0,0,0
cheh,ɛ,3,,0,0,0,0
chiche,i,1,,0,0,0,0
chouette,u,1,,0,1,0,0
chtt,/,/,,0,0,0,0
chut,y,1,,0,3,4,12
ciel,i,1,,0,0,37,9
cool,u,1,,0,0,0,0
corbleu,o,2,,0,0,0,0
couac,u,1,,0,0,0,0
coucou,u,1,,0,0,1,0
coudonc,u,1,,0,0,0,0
couic,u,1,,0,0,0,0
courage,u,1,,0,0,3,2
crénom,e,2,,0,0,0,0
crisse,i,1,,0,0,0,0
cristi,i,1,,0,0,0,0
cul sec,u,1,,0,0,0,0
dame,a,4,,3,0,17,8
dia,i,1,,0,0,0,0
diable,i,1,,3,2,21,5
diantre,ɑ̃,4,,0,1,2,3
dieu du ciel,i,1,,0,0,1,0
Dieu merci,i,1,,0,1,5,1
Dieu soit loué,i,1,,0,0,0,0
dieux du ciel,i,1,,0,0,0,0
dis donc,i,1,,0,0,0,7
dommage,o,2,,0,1,1,3
doucement les basses,u,1,,0,0,0,0
doux Jésus,u,1,,0,0,0,0
du balai,y,1,,0,0,0,0
du calme,y,1,,0,0,0,0
du nerf,y,1,,0,0,0,0
du vent,y,1,,0,0,0,0
échec,e,2,,0,0,0,0
échec et mat,e,2,,0,0,0,0
eh,e,2,,11,7,75,13
eh bien,e,2,,6,1,191,49
en avant,ɑ,4,,1,0,0,0
en garde,ɑ,4,,0,0,4,0
encore heureux,ɑ,4,,0,0,0,0
enfin,ɑ,4,,2,1,2,11
euh,ø  ,2,,0,0,0,2
eurêka,ø  ,2,,0,0,0,0
fi,i,1,,3,1,5,0
fichtre,i,1,,0,0,4,0
fiou,i,1,,0,0,0,0
flac,a,4,,0,0,0,0
floc,o,2,,0,0,0,1
gare,a,4,,0,0,1,1
glou,u,1,,0,0,0,0
gnangnangnan,a,4,,0,0,0,0
gneu gneu,ø,2,,0,0,0,0
gneu-gneu,ø,2,,0,0,0,0
gneugneu,ø,2,,0,0,0,0
gneux gneux,ø,2,,0,0,0,0
grand Dieu,ɑ,4,,1,0,11,0
grands dieux,ɑ,4,,0,0,0,1
ha,a,4,,0,0,4,0
haïe,ε,3,,0,0,0,0
halte,a,4,,0,0,0,2
haro,a,4,,0,0,0,0
haut les cœurs,o,2,,0,0,0,0
haut les mains,o,2,,0,0,0,0
hé,e,2,,0,4,37,11
héhé,e,2,,0,0,0,0
hein,ε,3,,0,2,6,1
hélas,e,2,,1,26,220,23
hélas non,e,2,,1,0,0,1
hem,ε,3,,0,2,1,0
heu,ø,2,,0,0,0,5
hic,i,1,,0,0,0,0
hin,ε,3,,0,0,0,0
hmm,/,/,,0,0,0,0
ho,o,2,,0,1,0,4
ho mon Dieu,o,2,,0,0,0,0
holà,o,2,,0,0,44,1
hop,o,2,,0,0,0,0
hors de question,o,2,,0,0,0,0
hourra,u,1,,0,0,0,0
hourrah,u,1,,0,0,0,0
hue,y,1,,0,0,0,0
hum,u,1,,3,0,11,0
juste ciel,y,1,,0,0,4,0
khalass,a,4,,0,0,0,0
la ferme,a,4,,0,0,1,0
la honte,a,4,,0,0,0,1
la vache,a,4,,0,0,0,0
las,a,4,,0,1,0,0
merde,ε,3,,0,0,0,0
ma foi,a,4,,0,0,8,3
malepeste,a,4,,0,0,0,0
mâtin,a,4,,0,0,0,0
mazette,a,4,,0,0,0,0
mets-en,ε,3,,0,0,0,0
meuh,ø,2,,0,0,0,0
miam,i,1,,0,0,0,0
miaou,a,4,,0,0,0,0
mince,ε,3,,0,0,0,0
misère,i,1,,0,0,5,0
miséricorde,i,1,,0,0,3,0
mon Dieu,ɔ,3,,3,1,64,14
mon œil,ɔ,3,,0,0,0,0
morbleu,ɔ,3,,0,0,10,1
motus,o,2,,0,0,0,0
mouais,u,1,,0,0,0,0
mouarf,u,1,,0,0,0,0
nenni,ε,3,,0,0,0,0
n'importe quoi,ε,3,,0,0,0,1
ô mon Dieu,o,2,,0,0,8,1
oh,o,2,,14,20,235,244
oh là là,o,2,,0,0,0,0
oh mon Dieu,o,2,,0,0,0,0
oh non,o,2,,0,0,1,4
ohé,o,2,,0,1,0,2
OK,o,2,,1,0,0,0
okay,o,2,,0,0,0,0
oki,o,2,,0,0,0,0
oua-oua,u,1,,0,0,0,0
ouaf,u,1,,0,0,0,0
ouah,u,1,,0,0,0,0
ouaich,u,1,,0,0,0,0
ouaiiis,u,1,,0,0,0,0
ouaille,u,1,,0,0,0,0
ouaip,u,1,,0,0,0,0
ouais,u,1,,0,0,1,1
ouate de phoque,u,1,,0,0,0,0
ouch,u,1,,0,0,0,0
ouèche,u,1,,0,0,0,0
ouf,u,1,,0,3,5,0
ouh,u,1,,0,0,0,0
oui,u,1,,3,4,23,34
oui-da,u,1,,0,0,0,0
ouille,u,1,,0,0,0,0
ouip,u,1,,0,0,0,0
ouipe,u,1,,0,0,0,0
ouistiti,u,1,,0,0,0,0
oups,u,1,,0,0,0,0
ouste,u,1,,0,0,0,0
oustiti,u,1,,0,0,0,0
putain,y,1,,0,0,0,0
paf,a,4,,0,0,1,0
par pitié,a,4,,0,0,2,0
pas touche,a,4,,0,0,0,0
patapouf,a,4,,0,0,0,0
patati,a,4,,0,0,0,0
patatras,a,4,,0,0,1,0
pécaïre,e,2,,0,0,0,0
pétard,e,2,,0,0,0,0
peuh,ø,2,,0,0,1,0
pff,/,/,,0,0,0,0
pfff,/,/,,0,0,0,0
pfut,u,1,,0,0,0,0
pigé,i,1,,0,0,0,0
ploc,ɔ,3,,0,0,0,0
plouf,u,1,,0,0,0,0
polop,ɔ,3,,0,0,0,0
pouah,u,1,,1,1,3,0
pouce,u,1,,0,0,0,0
pouët,u,1,,0,0,0,0
pouf,u,1,,0,0,0,0
pour l'amour de Dieu,u,1,,0,0,1,0
pour l'amour du ciel,u,1,,0,0,0,0
pschitt,i,1,,0,0,0,0
psitt,i,1,,0,0,0,0
punaise,y,1,,0,0,0,0
purée,y,1,,0,0,0,1
putain,y,1,,0,0,0,0
putain de bordel de merde,y,1,,0,0,0,0
putain de merde,y,1,,0,0,0,0
quel dommage,ε,3,,0,1,1,0
quelle horreur,ε,3,,0,1,2,0
qu'importe,ε,3,,0,0,1,0
quoi encore,a,4,,0,0,0,0
rhô,o,2,,0,0,0,0
sacredieu,a,4,,0,0,0,0
sacristi,a,4,,0,0,0,2
sah,a,4,,0,0,0,0
saperlipopette,a,4,,0,0,0,0
sapristi,a,4,,1,0,2,1
scrogneugneu,ɔ,3,,0,0,0,0
si,i,1,,0,2,4,18
super,y,1,,0,0,0,0
ta gueule,a,4,,0,0,0,0
ta mère,a,4,,0,0,3,0
ta yeule,a,4,,0,0,0,0
tabarnak,a,4,,0,0,0,0
tabarnouche,a,4,,0,0,0,0
tabarouette,a,4,,0,0,0,0
tabernacle,a,4,,0,0,0,0
tac,a,4,,0,0,0,0
tada,a,4,,0,0,0,0
tadam,a,4,,0,0,0,0
tant mieux,ɑ,4,,0,1,2,2
tchin tchin,i,1,,0,0,0,0
tchin-tchin,i,1,,0,0,0,0
tiens,ɛ̃,3,,1,3,25,13
tiens donc,ɛ̃,3,,0,0,0,0
tin,ɛ,3,,0,0,0,0
tintin,ɛ,3,,0,0,0,0
toc-toc,ɔ,3,,0,0,0,0
tralala,a,4,,0,0,0,0
turlututu,y,1,,0,0,0,0
va chier,a,4,,0,0,0,0
vé,e,2,,0,0,0,0
voilà,ɔ,3,,2,5,18,28
waouh,a,4,,0,0,0,0
waouw,a,4,,0,0,0,0
wouaf,a,4,,0,0,0,0
youpi,u,1,,0,0,0,0
zou,u,1,,0,0,0,0
zut,y,1,,1,1,1,7
zyva,i,1,,0,0,0,0
